ID,Reference,Hypothesis,Reconstructed
test/V1yW5IsnSjo/00001,i'm here to tell you the story of crazy love a psychological trap disguised as love one,i'm here to tell you the story of creativity psychological trauma and the arts of life what,I'm here to tell you the story of creativity psychological trauma and the arts of life what
test/stngBN4hp14/00001,about a year after 9 11 researchers examined a group of women who were pregnant when they were exposed to the world,about a year after the eleven researchers had damaged the group of women who were pregnant when they were exposed to the word,About a year after the eleven researchers had damaged the group of women who were pregnant when they were exposed to the word
test/7qT3RpaBlJo/00001,it is my belief that to create these rare game changers requires you to pull off at least,it is my belief that you can have these rare game changers requires you to pull off at these,It is my belief that you can have these rare game changers requirements you've pulled off at these
test/xTkKSJSqUSI/00039,you're hearing one presentation after another often representing a group of people a tribe about how,you're hearing one person's cancer after another often representing a group of people a tribe about how,You're hearing one person's cancer after another often representing a group of people a tribe about how
test/NCJTV5KaJJc/00001,last week alone i got 238 pieces of nasty email and more,last week i got 238 but i can't see me and more,Last week I got 238 but I can't see me and more
test/ZJNESMhIxQ0/00001,it turned out that we were doing a lot of low level drug cases on the streets just around the corner from our office in trenton,it turned out that we were doing a lot of low level drug cases on the streets just around the corner from our office in jackson,It turned out that we were doing a lot of low level drug cases on the streets just around the corner from our office in Jackson
test/ZJNESMhIxQ0/00024,and when i look at the criminal justice system in the united states today i feel the exact same way that i did about the state of,and when i look at the criminal justice system in the united states today i feel the exact same way that i did about the state of,And when I look at the criminal justice system in the United States today I feel the exact same way that I did about the state of
test/FcmSmAwPkxg/00007,you destroy all the bone marrow in the cancer patient with massive doses of chemotherapy,you destroy all the bone marrow in the cancer patient with massive doses of chemotherapy,You destroy all the bone marrow in the cancer patient with massive doses of chemotherapy
test/YD5PFdghryc/00001,and so many of my early memories involved intricate daydreams where i would walk across borders,and so many of my early memories involve flight change and detours where i would walk across border,And so many of my early memories involve flight change and detours where I would walk across border
test/qsJYrwzfd6w/00004,and after that initial prototype we set out to make free and open source software so that others do not have,and after that initial prototype we set out to make a fully open source software so that others do not have,And after that initial prototype we set out to make a fully open source software so that others do not have
test/YzGjO5aHShQ/00002,and that's really what i find so intriguing about the reactions that we've had to the,and that's really what i find so intriguing about the reactions that we've had to the,And that's really what I find so interesting about the reactions that we've had to the
test/ZJNESMhIxQ0/00016,and all of this matters greatly because public safety to me is the most important function of,and all of this matters greatly because when public savings to me is the most important function of,AND ALL OF THIS MATTERS GREATLY BECAUSE WHEN PUBLIC SAVINGS TO ME IS THE MOST IMPORTANT FUNCTION OF
test/MvXZzKZ3JYQ/00001,my mother was on the line to tell me that doctors had found a lump in his stomach terminal cancer,my mother was on line to tell me that doctors had found a lump in a stem cell cancer,My mother was on line to tell me that doctors had found a lump in my stomach cancer
test/ZJNESMhIxQ0/00025,so i decided to focus on using data and analytics to help make the most critical decision,so i decided to focus on using data and analytics to help make their most critical decision,So I decided to focus on using data and analytics to help make their most critical decision
test/JSSc7hYKstI/00019,but in the process they also train our brains to tune out when somebody else's issue,but in the process they also train our brains to tune out what somebody else is issuing,But in the process they also train our brains to tune out what some body else is issuing
test/t7Xr3AsBEK4/00001,so you want to go to that board meeting but you only want to pay attention to the bits that interest,so you want to go to that board meeting but you only want to pay attention to the business interests,So you want to go to that board meeting But you only want to pay attention to the business interests
test/SE97Kgi0sR4/00002,they also monitored the internet and social media to monitor the progress of,the dollars on the internet and social media the monetary progress i've,The dollar's on the Internet and social media The Monetary Progressive
test/xTkKSJSqUSI/00012,if you want this experience to live on as something historic then at the reception,if you want this experience to live on as something enduring the next step is to,If you want this experience to live on as something enduring the next step is to
test/SSzRfSJTNW4/00001,what is the exact relationship between levels of greenhouse gases and planetary,what if the exact relationship between government and greenhouse gases and planetary,What if the exact relationship between government and greenhouse gases and planetary
test/ZJNESMhIxQ0/00023,so when i started my job at the arnold foundation i came back to looking at a lot of these questions and i came back,so when i started my job at the cultural foundation i came back to looking at a lot of these questions and i came back,So when I started my job at the Cultural Foundation I came back to looking at a lot of these questions and I came back
test/mgcjr1yz7ow/00006,i looked at my friend who drilled seven dry wells writing off more than a billion dollars for the,i looked at my friends who chose the safe and dry walls running off more than a billion dollars for the,I looked at my friends who chose the safe and dry walls running off more than a billion dollars for the
test/KxLMjn4WPBY/00001,race is a social category that has staggering biological consequences,race is a social category that has staggering biological consequences,Races a social category that has staggering biological consequences
